model,batch,residency_pct,precision,bw_gbps,e_union,bytes_per_layer,t_transfer_ms,t_compute_ms,compute_provenance,rho,required_bw_gbps_for_rho1
olmoe,32,12.5,fp16,32,58.734,646664159.232,20.208254976000003,3.0997449971735476,measured_here,6.519328201005751,208.61850243218402
olmoe,32,12.5,fp16,64,58.734,646664159.232,10.104127488000001,3.0997449971735476,measured_here,3.2596641005028757,208.61850243218402
olmoe,32,12.5,fp16,128,58.734,646664159.232,5.052063744000001,3.0997449971735476,measured_here,1.6298320502514378,208.61850243218402
olmoe,32,25.0,fp16,16,58.734,554283565.056,34.642722815999996,3.0997449971735476,measured_here,11.175991201724143,178.81585922758632
olmoe,32,25.0,fp16,32,58.734,554283565.056,17.321361407999998,3.0997449971735476,measured_here,5.5879956008620715,178.81585922758632
olmoe,32,25.0,fp16,64,58.734,554283565.056,8.660680703999999,3.0997449971735476,measured_here,2.7939978004310357,178.81585922758632
olmoe,32,25.0,fp16,128,58.734,554283565.056,4.3303403519999994,3.0997449971735476,measured_here,1.3969989002155179,178.81585922758632
olmoe,32,37.5,fp16,16,58.734,461902970.88,28.86893568,3.0997449971735476,measured_here,9.313326001436787,149.0132160229886
olmoe,32,37.5,fp16,32,58.734,461902970.88,14.43446784,3.0997449971735476,measured_here,4.656663000718393,149.0132160229886
olmoe,32,37.5,fp16,64,58.734,461902970.88,7.21723392,3.0997449971735476,measured_here,2.3283315003591967,149.0132160229886
olmoe,32,37.5,fp16,128,58.734,461902970.88,3.60861696,3.0997449971735476,measured_here,1.1641657501795983,149.0132160229886
olmoe,32,50.0,fp16,16,58.734,369522376.704,23.095148544,3.0997449971735476,measured_here,7.4506608011494295,119.21057281839087
olmoe,32,50.0,fp16,32,58.734,369522376.704,11.547574272,3.0997449971735476,measured_here,3.7253304005747148,119.21057281839087
olmoe,32,50.0,fp16,64,58.734,369522376.704,5.773787136,3.0997449971735476,measured_here,1.8626652002873574,119.21057281839087
olmoe,32,50.0,fp16,128,58.734,369522376.704,2.886893568,3.0997449971735476,measured_here,0.9313326001436787,119.21057281839087
olmoe,32,75.0,fp16,16,58.734,184761188.352,11.547574272,3.0997449971735476,measured_here,3.7253304005747148,59.605286409195436
olmoe,32,75.0,fp16,32,58.734,184761188.352,5.773787136,3.0997449971735476,measured_here,1.8626652002873574,59.605286409195436
olmoe,32,75.0,fp16,64,58.734,184761188.352,2.886893568,3.0997449971735476,measured_here,0.9313326001436787,59.605286409195436
olmoe,32,75.0,fp16,128,58.734,184761188.352,1.443446784,3.0997449971735476,measured_here,0.46566630007183935,59.605286409195436
olmoe,32,0.0,nf4,16,58.734,190627356.082176,11.914209755136,3.0997449971735476,measured_here,3.8436096407929616,61.49775425268739
olmoe,32,0.0,nf4,32,58.734,190627356.082176,5.957104877568,3.0997449971735476,measured_here,1.9218048203964808,61.49775425268739
olmoe,32,0.0,nf4,64,58.734,190627356.082176,2.978552438784,3.0997449971735476,measured_here,0.9609024101982404,61.49775425268739
olmoe,32,0.0,nf4,128,58.734,190627356.082176,1.489276219392,3.0997449971735476,measured_here,0.4804512050991202,61.49775425268739
olmoe,32,12.5,nf4,16,58.734,166798936.571904,10.424933535744,3.0997449971735476,measured_here,3.3631584356938418,53.81053497110147
olmoe,32,12.5,nf4,32,58.734,166798936.571904,5.212466767872,3.0997449971735476,measured_here,1.6815792178469209,53.81053497110147
olmoe,32,12.5,nf4,64,58.734,166798936.571904,2.606233383936,3.0997449971735476,measured_here,0.8407896089234604,53.81053497110147
olmoe,32,12.5,nf4,128,58.734,166798936.571904,1.303116691968,3.0997449971735476,measured_here,0.4203948044617302,53.81053497110147
olmoe,32,25.0,nf4,16,58.734,142970517.061632,8.935657316352,3.0997449971735476,measured_here,2.8827072305947214,46.12331568951555
olmoe,32,25.0,nf4,32,58.734,142970517.061632,4.467828658176,3.0997449971735476,measured_here,1.4413536152973607,46.12331568951555
olmoe,32,25.0,nf4,64,58.734,142970517.061632,2.233914329088,3.0997449971735476,measured_here,0.7206768076486804,46.12331568951555
olmoe,32,25.0,nf4,128,58.734,142970517.061632,1.116957164544,3.0997449971735476,measured_here,0.3603384038243402,46.12331568951555
olmoe,32,37.5,nf4,16,58.734,119142097.55136,7.44638109696,3.0997449971735476,measured_here,2.402256025495601,38.43609640792962
olmoe,32,37.5,nf4,32,58.734,119142097.55136,3.72319054848,3.0997449971735476,measured_here,1.2011280127478006,38.43609640792962
olmoe,32,37.5,nf4,64,58.734,119142097.55136,1.86159527424,3.0997449971735476,measured_here,0.6005640063739003,38.43609640792962
olmoe,32,37.5,nf4,128,58.734,119142097.55136,0.93079763712,3.0997449971735476,measured_here,0.30028200318695014,38.43609640792962
olmoe,32,50.0,nf4,16,58.734,95313678.041088,5.957104877568,3.0997449971735476,measured_here,1.9218048203964808,30.748877126343697
olmoe,32,50.0,nf4,32,58.734,95313678.041088,2.978552438784,3.0997449971735476,measured_here,0.9609024101982404,30.748877126343697
olmoe,32,50.0,nf4,64,58.734,95313678.041088,1.489276219392,3.0997449971735476,measured_here,0.4804512050991202,30.748877126343697
